STATENAME,ST_CASE,COUNTYNAME,MONTHNAME,DAY_WEEKNAME,LGT_CONDNAME,HOUR,HOURNAME,ROUTENAME,WEATHERNAME,FATALS
florida,123162,broward,December,Tuesday,Daylight,15,3:00pm-3:59pm,State Highway,Clear,1
florida,123163,hillsborough,December,Thursday,Daylight,11,11:00am-11:59am,Interstate,Clear,1
florida,123164,bay,December,Saturday,Dusk,17,5:00pm-5:59pm,Local Street - Municipality,Clear,1
florida,123165,miami-dade,December,Wednesday,Dark - Lighted,22,10:00pm-10:59pm,State Highway,Clear,1
florida,123166,lee,November,Tuesday,Dark - Lighted,21,9:00pm-9:59pm,U.S. Highway,Cloudy,1
florida,123167,sarasota,December,Monday,Dark - Not Lighted,3,3:00am-3:59am,Unknown,Cloudy,1
florida,123169,collier,November,Friday,Dark - Lighted,5,5:00am-5:59am,State Highway,Clear,1
florida,123170,hernando,December,Saturday,Daylight,15,3:00pm-3:59pm,U.S. Highway,Clear,1
florida,123171,hernando,November,Sunday,Dark - Not Lighted,0,0:00am-0:59am,County Road,Clear,1
florida,123172,citrus,December,Saturday,Dark - Not Lighted,21,9:00pm-9:59pm,State Highway,Clear,2
florida,123173,pasco,November,Sunday,Daylight,9,9:00am-9:59am,Unknown,Clear,1
florida,123175,escambia,November,Tuesday,Dusk,16,4:00pm-4:59pm,U.S. Highway,Clear,1
florida,123176,volusia,December,Saturday,Daylight,7,7:00am-7:59am,Local Street - Municipality,Clear,1
florida,123177,hillsborough,December,Friday,Dark - Not Lighted,20,8:00pm-8:59pm,U.S. Highway,Clear,1
florida,123178,orange,December,Saturday,Dark - Lighted,3,3:00am-3:59am,Local Street - Municipality,Clear,1
florida,123179,manatee,November,Sunday,Dark - Not Lighted,0,0:00am-0:59am,State Highway,Clear,1
florida,123180,miami-dade,November,Friday,Dark - Lighted,2,2:00am-2:59am,State Highway,Cloudy,1
florida,123181,miami-dade,December,Monday,Dark - Lighted,23,11:00pm-11:59pm,Local Street - Municipality,Clear,1
florida,123182,hillsborough,December,Saturday,Dark - Not Lighted,4,4:00am-4:59am,Local Street - Municipality,Clear,1
florida,123183,citrus,December,Sunday,Dark - Not Lighted,4,4:00am-4:59am,U.S. Highway,Haze,1
florida,123184,manatee,December,Wednesday,Dark - Lighted,23,11:00pm-11:59pm,Unknown,Clear,1
florida,123185,hillsborough,December,Friday,Dusk,17,5:00pm-5:59pm,U.S. Highway,Clear,1
florida,123186,polk,December,Friday,Dark - Lighted,20,8:00pm-8:59pm,Unknown,Clear,1
florida,123187,polk,December,Sunday,Dark - Not Lighted,18,6:00pm-6:59pm,Unknown,Clear,1
florida,123188,st lucie,September,Saturday,Dark - Not Lighted,2,2:00am-2:59am,County Road,Clear,1
florida,123189,charlotte,December,Saturday,Dark - Not Lighted,22,10:00pm-10:59pm,Interstate,Clear,1
florida,123190,putnam,December,Saturday,Dark - Lighted,21,9:00pm-9:59pm,Local Street - Municipality,Cloudy,1
florida,123191,hillsborough,November,Friday,Daylight,15,3:00pm-3:59pm,Interstate,Rain,1
florida,123192,martin,November,Tuesday,Dark - Lighted,0,0:00am-0:59am,Interstate,Clear,1
florida,123193,orange,December,Monday,Dark - Lighted,3,3:00am-3:59am,County Road,Clear,1
florida,123194,broward,November,Monday,Dark - Lighted,4,4:00am-4:59am,Interstate,Clear,1
florida,123195,putnam,December,Tuesday,Daylight,7,7:00am-7:59am,U.S. Highway,Haze,1
florida,123196,broward,December,Thursday,Dark - Not Lighted,18,6:00pm-6:59pm,State Highway,Clear,1
florida,123197,leon,December,Saturday,Dark - Lighted,20,8:00pm-8:59pm,U.S. Highway,Clear,1
florida,123198,santa rosa,December,Monday,Daylight,8,8:00am-8:59am,State Highway,Clear,1
florida,123199,walton,December,Friday,Dark - Not Lighted,3,3:00am-3:59am,Interstate,Rain,2
florida,123200,lake,December,Monday,Dark - Not Lighted,18,6:00pm-6:59pm,U.S. Highway,Clear,1
florida,123201,escambia,December,Friday,Dusk,17,5:00pm-5:59pm,State Highway,Cloudy,1
florida,123202,escambia,December,Wednesday,Dark - Not Lighted,17,5:00pm-5:59pm,State Highway,Clear,1
florida,123203,broward,December,Saturday,Daylight,7,7:00am-7:59am,Local Street - Municipality,Clear,1
florida,123204,polk,November,Thursday,Dark - Not Lighted,0,0:00am-0:59am,Unknown,Clear,1
florida,123205,broward,December,Friday,Dark - Lighted,17,5:00pm-5:59pm,Local Street - Municipality,Clear,1
florida,123206,okaloosa,December,Saturday,Dark - Not Lighted,5,5:00am-5:59am,State Highway,Cloudy,1
florida,123207,nassau,December,Friday,Daylight,13,1:00pm-1:59pm,U.S. Highway,Clear,1
florida,123208,orange,January,Thursday,Dark - Not Lighted,5,5:00am-5:59am,Local Street - Municipality,Clear,1
florida,123209,st lucie,December,Thursday,Daylight,5,5:00am-5:59am,Unknown,Clear,1
florida,123210,miami-dade,November,Monday,Dark - Lighted,5,5:00am-5:59am,Local Street - Municipality,Haze,1
florida,123211,miami-dade,December,Tuesday,Daylight,7,7:00am-7:59am,State Highway,Clear,1
florida,123212,polk,November,Wednesday,Dark - Not Lighted,20,8:00pm-8:59pm,Interstate,Clear,1
florida,123213,okeechobee,December,Thursday,Dark - Not Lighted,6,6:00am-6:59am,U.S. Highway,Haze,1
florida,123214,brevard,December,Friday,Dark - Not Lighted,6,6:00am-6:59am,U.S. Highway,Haze,1
florida,123215,charlotte,December,Friday,Dark - Not Lighted,22,10:00pm-10:59pm,Unknown,Clear,1
florida,123216,hillsborough,October,Saturday,Dark - Not Lighted,6,6:00am-6:59am,State Highway,Clear,1
florida,123217,lee,December,Thursday,Dark - Not Lighted,21,9:00pm-9:59pm,U.S. Highway,Haze,1
florida,123218,jackson,December,Thursday,Dark - Not Lighted,4,4:00am-4:59am,Interstate,Clear,1
florida,123219,lee,December,Saturday,Dark - Lighted,0,0:00am-0:59am,State Highway,Clear,1
florida,123220,miami-dade,November,Tuesday,Daylight,16,4:00pm-4:59pm,State Highway,Clear,1
florida,123221,hillsborough,December,Monday,Dark - Not Lighted,4,4:00am-4:59am,Interstate,Clear,1
florida,123222,sarasota,December,Saturday,Daylight,13,1:00pm-1:59pm,Unknown,Clear,1
florida,123223,charlotte,December,Monday,Dark - Not Lighted,5,5:00am-5:59am,State Highway,Haze,1
florida,123225,orange,December,Saturday,Dark - Lighted,2,2:00am-2:59am,Interstate,Clear,1
florida,123226,martin,December,Thursday,Dark - Not Lighted,18,6:00pm-6:59pm,Unknown,Clear,1
florida,123227,okaloosa,December,Tuesday,Daylight,14,2:00pm-2:59pm,Interstate,Clear,1
florida,123228,hardee,December,Friday,Dark - Not Lighted,19,7:00pm-7:59pm,U.S. Highway,Clear,1
florida,123229,miami-dade,November,Monday,Dark - Lighted,3,3:00am-3:59am,State Highway,Clear,1
florida,123230,duval,December,Sunday,Dark - Lighted,18,6:00pm-6:59pm,State Highway,Clear,1
florida,123231,sarasota,December,Friday,Dark - Lighted,20,8:00pm-8:59pm,State Highway,Clear,1
florida,123232,levy,December,Thursday,Dark - Lighted,6,6:00am-6:59am,State Highway,Clear,1
florida,123233,monroe,December,Saturday,Dark - Not Lighted,21,9:00pm-9:59pm,Local Street - Municipality,Clear,1
florida,123234,miami-dade,December,Saturday,Daylight,9,9:00am-9:59am,Local Street - Municipality,Clear,1
florida,123235,brevard,December,Saturday,Dark - Lighted,23,11:00pm-11:59pm,State Highway,Clear,1
florida,123236,st johns,December,Wednesday,Dusk,18,6:00pm-6:59pm,Local Street - Municipality,Rain,1
florida,123237,hillsborough,December,Thursday,Daylight,10,10:00am-10:59am,Unknown,Clear,1
florida,123238,sarasota,December,Saturday,Dark - Not Lighted,1,1:00am-1:59am,U.S. Highway,Clear,1
florida,123239,orange,December,Friday,Dark - Lighted,3,3:00am-3:59am,State Highway,Clear,1
florida,123240,volusia,December,Saturday,Dark - Not Lighted,19,7:00pm-7:59pm,U.S. Highway,Clear,1
florida,123241,hernando,December,Saturday,Daylight,16,4:00pm-4:59pm,Unknown,Clear,1
florida,123242,miami-dade,November,Friday,Dark - Lighted,23,11:00pm-11:59pm,U.S. Highway,Clear,1
florida,123243,hillsborough,August,Thursday,Daylight,12,12:00pm-12:59pm,State Highway,Cloudy,1
florida,123244,hamilton,December,Sunday,Dark - Lighted,23,11:00pm-11:59pm,Interstate,Clear,1
florida,123245,pasco,December,Friday,Daylight,14,2:00pm-2:59pm,Interstate,Clear,1
florida,123246,miami-dade,May,Sunday,Dark - Lighted,21,9:00pm-9:59pm,Unknown,Clear,1
